0, 3, 0, 2022/12/01 04:23:33
1, 3, 2, 2022/12/01 04:23:45
2, 5, 1, 2022/12/01 04:24:47
0, 3, 2, 2022/12/01 11:19:15
1, 5, 2, 2022/12/01 12:56:29
0, 3, 2, 2022/12/01 14:21:22
0, 5, 2, 2022/12/01 14:21:38
0, 5, 2, 2022/12/01 14:31:32
0, 5, 2, 2022/12/01 14:38:09
1, 3, 2, 2022/12/01 14:41:48
0, 3, 2, 2022/12/01 14:50:12
0, 5, 2, 2022/12/01 14:50:44
0, 5, 2, 2022/12/01 16:46:34
0, 5, 2, 2022/12/01 16:52:32
1, 5, 1, 2022/12/01 16:53:05
2, 3, 0, 2022/12/02 00:00:09
2, 3, 2, 2022/12/02 00:06:10
2, 5, 2, 2022/12/02 00:06:37
1, 5, 2, 2022/12/02 00:07:03
0, 5, 2, 2022/12/02 00:07:47
1, 5, 2, 2022/12/02 00:08:10
1, 3, 2, 2022/12/05 00:23:20
2, 3, 2, 2022/12/05 00:24:27
2, 3, 2, 2022/12/05 00:25:29
1, 3, 2, 2022/12/05 00:26:22
0, 5, 2, 2022/12/05 01:21:49
1, 5, 2, 2022/12/05 01:24:33
1, 5, 2, 2022/12/05 01:30:27
0, 5, 2, 2022/12/05 01:31:43
1, 3, 2, 2022/12/05 01:32:39
1, 3, 2, 2022/12/05 01:32:54
1, 3, 2, 2022/12/05 01:33:09
1, 3, 2, 2022/12/05 01:33:25
0, 3, 2, 2022/12/05 01:33:58
1, 4, 2, 2022/12/05 01:34:13
1, 4, 0, 2022/12/05 01:34:31
1, 5, 1, 2022/12/05 01:34:48
1, 5, 2, 2022/12/05 01:35:55
1, 3, 2, 2022/12/05 05:24:15
0, 5, 2, 2022/12/05 05:24:50
1, 5, 2, 2022/12/05 05:25:10
0, 3, 2, 2022/12/05 05:42:52
1, 3, 2, 2022/12/05 05:43:19
0, 3, 2, 2022/12/05 21:43:07
0, 3, 0, 2022/12/05 23:59:53
0, 3, 0, 2022/12/06 00:11:45
0, 3, 1, 2022/12/06 00:18:53
0, 3, 1, 2022/12/06 00:19:16
0, 3, 2, 2022/12/06 00:19:39
0, 3, 2, 2022/12/06 00:19:59
0, 3, 2, 2022/12/06 00:20:11
0, 3, 2, 2022/12/06 00:20:45
0, 3, 2, 2022/12/06 00:20:55
0, 3, 2, 2022/12/06 00:21:08
0, 3, 2, 2022/12/06 00:21:40
0, 3, 2, 2022/12/06 00:21:58
0, 3, 0, 2022/12/06 00:24:33
0, 3, 2, 2022/12/06 00:24:43
0, 3, 0, 2022/12/06 23:16:59
0, 3, 2, 2022/12/07 17:53:15
0, 5, 2, 2022/12/07 17:53:57
0, 5, 2, 2022/12/07 17:54:16
0, 5, 2, 2022/12/07 18:49:25
0, 7, 2, 2022/12/08 17:29:47
0, 3, 2, 2022/12/08 17:31:12
0, 3, 2, 2022/12/08 23:56:11
0, 5, 1, 2022/12/08 23:57:21
0, 3, 0, 2022/12/08 23:58:34
0, 3, 2, 2022/12/09 00:01:57
1, 3, 2, 2022/12/09 00:04:51
1, 5, 2, 2022/12/09 00:38:50
1, 3, 2, 2022/12/09 00:39:22
1, 3, 2, 2022/12/09 00:39:32
1, 3, 2, 2022/12/09 00:39:45
1, 5, 2, 2022/12/09 00:40:00
1, 5, 2, 2022/12/09 00:40:24
1, 5, 2, 2022/12/09 00:41:16
1, 3, 2, 2022/12/09 00:41:53
1, 3, 2, 2022/12/09 00:42:04
1, 5, 2, 2022/12/09 00:42:14
1, 3, 0, 2022/12/09 00:46:48
0, 5, 0, 2022/12/09 00:50:42
1, 3, 1, 2022/12/09 00:58:11
1, 3, 1, 2022/12/09 00:58:50
1, 3, 0, 2022/12/09 00:59:17
1, 3, 1, 2022/12/09 00:59:33
0, 5, 0, 2022/12/09 01:04:21
1, 3, 1, 2022/12/09 01:05:05
1, 5, 2, 2022/12/09 01:06:26
1, 5, 2, 2022/12/09 01:07:14
1, 3, 2, 2022/12/09 03:26:54
1, 5, 2, 2022/12/24 02:35:47
