0, 3, 0, 2022/12/01 04:23:33
1, 3, 2, 2022/12/01 04:23:45
2, 5, 1, 2022/12/01 04:24:47
0, 3, 2, 2022/12/01 11:19:15
1, 5, 2, 2022/12/01 12:56:29
0, 3, 2, 2022/12/01 14:21:22
0, 5, 2, 2022/12/01 14:21:38
0, 5, 2, 2022/12/01 14:31:32
0, 5, 2, 2022/12/01 14:38:09
1, 3, 2, 2022/12/01 14:41:48
0, 3, 2, 2022/12/01 14:50:12
0, 5, 2, 2022/12/01 14:50:44
0, 5, 2, 2022/12/01 16:46:34
0, 5, 2, 2022/12/01 16:52:32
1, 5, 1, 2022/12/01 16:53:05
2, 3, 0, 2022/12/02 00:00:09
2, 3, 2, 2022/12/02 00:06:10
2, 5, 2, 2022/12/02 00:06:37
1, 5, 2, 2022/12/02 00:07:03
0, 5, 2, 2022/12/02 00:07:47
1, 5, 2, 2022/12/02 00:08:10
1, 3, 2, 2022/12/05 00:23:20
2, 3, 2, 2022/12/05 00:24:27
2, 3, 2, 2022/12/05 00:25:29
1, 3, 2, 2022/12/05 00:26:22
0, 5, 2, 2022/12/05 01:21:49
1, 5, 2, 2022/12/05 01:24:33
1, 5, 2, 2022/12/05 01:30:27
0, 5, 2, 2022/12/05 01:31:43
1, 3, 2, 2022/12/05 01:32:39
1, 3, 2, 2022/12/05 01:32:54
1, 3, 2, 2022/12/05 01:33:09
1, 3, 2, 2022/12/05 01:33:25
0, 3, 2, 2022/12/05 01:33:58
1, 4, 2, 2022/12/05 01:34:13
1, 4, 0, 2022/12/05 01:34:31
1, 5, 1, 2022/12/05 01:34:48
1, 5, 2, 2022/12/05 01:35:55
1, 3, 2, 2022/12/05 05:24:15
0, 5, 2, 2022/12/05 05:24:50
1, 5, 2, 2022/12/05 05:25:10
0, 3, 2, 2022/12/05 05:42:52
1, 3, 2, 2022/12/05 05:43:19
